Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1576.657974390225
FDW14,OUT017,1455.044464843508
NCN55,OUT010,574.8522041030916
FDQ58,OUT017,2487.5144042611155
FDY38,OUT027,5844.037568492121
FDH56,OUT046,1958.4511192360992
FDL48,OUT018,735.6944659957023
FDC48,OUT027,2108.279543903402
FDN33,OUT045,1534.3630257777788
FDA36,OUT017,3052.3983727881127
FDT44,OUT017,1977.8435261439265
FDQ56,OUT045,1438.8958771553225
NCC54,OUT019,575.1586900733298
FDU11,OUT049,2004.0682971552817
DRL59,OUT013,836.5393810940662
FDM24,OUT049,2482.522213272218
FDI57,OUT045,3104.247267660177
DRC12,OUT018,3052.3018269939157
NCM42,OUT027,2904.9707626305644
FDA46,OUT010,503.9545470492319
FDA31,OUT013,2851.1605035951175
NCJ31,OUT035,3877.0736042022
FDG52,OUT046,737.2117246969175
NCL19,OUT019,288.00536033782896
FDS10,OUT035,3005.5890649712137
FDX22,OUT010,565.1880612740194
NCF19,OUT035,736.188733103125
NCE06,OUT046,2562.639264098095
DRC27,OUT046,3905.4771162809297
FDE21,OUT035,1958.4511192360992
NCR42,OUT019,132.33919101434998
FDX51,OUT018,3055.622586289472
NCR06,OUT018,670.1939312503298
FDU31,OUT027,5844.037568492121
FDU59,OUT017,2566.8324642968337
FDR03,OUT027,5838.492945783655
FDS49,OUT027,2025.7956857918462
FDD48,OUT010,267.61185151784275
NCF18,OUT017,3054.3497120105894
NCD43,OUT027,2877.144962846056
NCD54,OUT018,2125.944627584395
FDY19,OUT010,268.02942009526635
NCY54,OUT017,2851.1605035951175
NCL19,OUT018,2475.36496642201
FDP23,OUT010,572.142791123459
FDC26,OUT013,1695.6284014712821
FDR14,OUT010,132.33919101434998
NCS41,OUT035,3052.3983727881127
FDF41,OUT035,3906.937243009883
FDU34,OUT046,2012.3342623638646
DRH11,OUT046,939.6268920932021
FDM03,OUT013,1576.657974390225
FDS31,OUT017,3015.8175802739574
FDJ20,OUT017,2004.0682971552817
FDV44,OUT027,5178.4973040885025
FDG02,OUT049,3052.3983727881127
FDA09,OUT013,2969.1360532110557
FDT04,OUT013,711.5996986387706
FDL58,OUT019,575.1586900733298
FDE52,OUT045,1480.40726848568
FDW12,OUT035,2477.557004623984
FDL51,OUT017,3661.946573577854
NCY42,OUT027,3015.7464192985167
FDR07,OUT017,1534.3630257777788
FDN40,OUT045,2487.5144042611155
FDB35,OUT027,2677.2077897896374
FDA22,OUT017,2572.09760188812
NCL06,OUT046,4080.772995538093
FDI35,OUT013,3015.8175802739574
NCW42,OUT045,3750.912454164346
NCX06,OUT049,2978.98698267142
FDC37,OUT027,2888.1864382173294
FDZ14,OUT018,2004.0682971552817
DRG49,OUT049,3907.3785551641818
NCG06,OUT045,4039.8365284894508
DRC36,OUT045,2851.1605035951175
FDV21,OUT019,278.11905459764296
FDB53,OUT046,2478.2164316868643
DRP47,OUT019,572.6549961529076
FDA14,OUT013,2478.2164316868643
DRC24,OUT035,2489.7064424630894
FDW21,OUT018,1559.8294386145467
NCH29,OUT046,1535.7998837096625
FDU58,OUT013,3052.3983727881127
FDY27,OUT017,2870.362396652843
FDV56,OUT035,1586.022080996416
FDT59,OUT046,3814.8298228999133
FDB23,OUT046,3770.492148214778
FDR49,OUT045,735.7172883333026
FDB03,OUT010,575.1586900733298
FDN39,OUT045,2572.09760188812
FDX02,OUT027,5844.037568492121
FDQ16,OUT027,2888.1864382173294
FDU35,OUT018,1538.1894493877749
NCT29,OUT013,2004.0682971552817
FDZ27,OUT046,737.8813147796109
FDN57,OUT017,2031.0542662589112
FDA03,OUT018,2478.2164316868643
FDZ36,OUT045,3052.3983727881127
NCU05,OUT013,1458.2705147015777
FDT39,OUT018,2482.522213272218
FDK60,OUT017,1534.3630257777788
FDZ25,OUT017,2734.832212363597
FDG12,OUT046,2004.0682971552817
DRB01,OUT019,503.22671299894427
NCC43,OUT027,5844.037568492121
FDX13,OUT019,572.142791123459
FDM22,OUT049,869.3680024841365
FDJ03,OUT027,1027.6401570157752
FDU14,OUT018,3815.42449190695
FDB33,OUT010,378.779087805489
FDP27,OUT046,3052.3983727881127
FDO38,OUT010,150.55964554832659
FDE28,OUT027,5844.037568492121
FDO27,OUT035,1534.3630257777788
DRL23,OUT027,2888.1864382173294
FDS28,OUT046,939.6268920932021
FDX24,OUT013,1538.8282030837624
FDZ02,OUT035,1534.3630257777788
FDL46,OUT045,1958.4511192360992
FDS60,OUT027,4771.522857818256
NCO06,OUT017,661.1971193036447
FDO16,OUT035,1435.640861409399
FDC60,OUT049,1455.044464843508
FDA48,OUT018,3531.1243542290163
FDZ36,OUT027,5165.592784373382
FDK27,OUT045,2001.8686424661148
FDW23,OUT018,667.6077494056818
FDM14,OUT018,1660.4055267069168
FDM14,OUT013,1578.936983988082
FDW60,OUT018,2868.3145116361698
FDE21,OUT013,1956.2157872760745
NCM42,OUT035,1586.022080996416
FDY59,OUT010,228.30860666755717
DRI49,OUT049,1332.5779262158858
FDT28,OUT019,365.2957950323143
FDQ22,OUT018,667.8388173364209
FDR60,OUT049,1251.842766678187
FDC50,OUT019,236.6608507078128
FDV24,OUT013,2482.522213272218
DRF48,OUT010,493.5612752096078
FDQ47,OUT046,667.4261496127023
DRN36,OUT049,1535.7998837096625
NCY06,OUT035,2014.3152900158502
FDE52,OUT035,1480.40726848568
NCB54,OUT045,2014.3152900158502
NCF31,OUT035,2487.5375306212463
FDJ08,OUT027,5186.347222113381
NCC07,OUT017,1576.657974390225
NCD19,OUT027,1222.6804556100572
FDL46,OUT049,1989.3911912672877
FDM20,OUT045,3917.0923724554614
NCI06,OUT010,450.59559978726526
DRM11,OUT035,4084.537028932474
NCH07,OUT018,2541.1324794402403
FDS23,OUT013,2023.0348377914552
FDO49,OUT018,732.3218745532464
FDS35,OUT049,1084.3957701505456
DRK39,OUT045,1398.3930693488592
DRI39,OUT049,929.5986051085081
FDV04,OUT017,2541.1324794402403
NCN14,OUT035,3052.3983727881127
FDH08,OUT013,3807.189227223699
FDS20,OUT046,3052.3983727881127
FDV40,OUT049,1134.5846044652772
FDZ48,OUT010,256.9735848963062
